Disease,MealType,FoodName,DietType,Cuisine,Calories,Protein (g),Carbs (g),Fats (g),Ingredients,PreparationSteps,HealthNotes
Kidney Disease,Breakfast,Tabbouleh with quinoa,Vegan,Mediterranean,308,19.0,12.1,10.5,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Lower sodium and potassium when needed; moderate protein and controlled phosphorus.
Gastritis,Breakfast,Lemon Herb Fish light masala,Pescatarian,Mediterranean,395,20.6,83.3,6.1,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.","Soothing, low-acid, non-irritant foods; easily digestible preparations."
Celiac Disease,Breakfast,Avocado Toast with Seeds light masala,Vegetarian,Continental,182,39.5,30.5,17.4,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Strictly gluten-free ingredients (rice, quinoa, millet) to avoid autoimmune reaction."
Fatty Liver,Snack,Rice Noodle Salad,Vegan,Asian,524,37.5,17.5,17.1,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.
Fatty Liver,Breakfast,Besan Chilla with herbs,Vegan,Indian,273,13.3,41.1,24.1,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.
Anemia,Snack,Moong Dal Chilla,Vegetarian,Indian,321,31.5,71.8,3.6,"lentils (moong/masoor), onion, tomato, turmeric, cumin","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Iron- and folate-rich ingredients; pairs with vitamin C sources to enhance absorption.
High Cholesterol,Dinner,Roast Chicken with Herbs with spinach,Non-Vegetarian,Continental,195,12.3,35.0,11.8,"lean chicken breast, garlic, yogurt (low-fat), spices (paprika, turmeric), olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",High soluble fiber and lean proteins to reduce LDL cholesterol.
GERD,Breakfast,Ragi Porridge with spinach,Vegan,Indian,466,16.0,56.3,17.5,"rolled oats, water or low-fat milk, nuts (almonds/walnuts), seeds (flax/chia), fresh berries or fruit, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook oats in water or low-fat milk over medium heat until soft. 3) Stir in seeds and nuts; simmer briefly; add fresh fruits or cinnamon for flavor. 4) Serve warm; portion control advised for diabetes/weight management.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux."
PCOS,Snack,Vegetable Sushi Bowl with herbs,Vegetarian,Asian,208,28.8,69.7,17.8,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Higher protein and low-glycemic carbohydrates to help regulate insulin and support hormones.
Depression/Anxiety,Snack,Vegetable Soup,Vegetarian,Continental,498,22.7,49.7,16.4,"mixed vegetables, low-sodium broth, herbs, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Sauté aromatics lightly in a bit of oil; add vegetables and low-sodium broth. 3) Simmer until vegetables are tender; season with herbs. 4) Blend partially or fully for a smooth texture if desired; serve warm.","Mood-supporting nutrients: omega-3s, vitamin D, B vitamins, magnesium; balanced meals."
Fatty Liver,Dinner,Grilled Chicken Bowl,Non-Vegetarian,Mediterranean,645,38.6,55.6,20.9,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.
Gastritis,Dinner,Steamed Fish with spices,Pescatarian,Indian,202,11.2,58.1,8.2,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.","Soothing, low-acid, non-irritant foods; easily digestible preparations."
Obesity,Breakfast,Tabbouleh with quinoa with quinoa,Vegan,Mediterranean,181,25.1,85.5,22.3,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Lower-calorie meals with high fiber and protein to increase satiety and support weight loss.
Heart Disease,Breakfast,Keema with peas,Non-Vegetarian,Indian,197,37.8,48.8,12.1,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Rich in omega-3, fiber, and antioxidants; low in saturated/trans fats to support cardiovascular health."
Kidney Disease,Dinner,Turkey Salad with spinach,Non-Vegetarian,Continental,358,19.6,17.3,26.0,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Lower sodium and potassium when needed; moderate protein and controlled phosphorus.
Obesity,Snack,Chickpea Salad with spinach,Vegetarian,Mediterranean,358,26.1,76.8,26.6,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Lower-calorie meals with high fiber and protein to increase satiety and support weight loss.
Anemia,Dinner,Avocado Toast with Seeds with herbs,Vegetarian,Continental,380,7.6,62.2,16.6,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Iron- and folate-rich ingredients; pairs with vitamin C sources to enhance absorption.
Hypertension,Lunch,Grilled Chicken Bowl light masala,Non-Vegetarian,Mediterranean,342,25.8,70.2,22.2,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Low sodium, emphasizes potassium-rich vegetables and lean proteins to support blood pressure."
High Cholesterol,Lunch,Steamed Fish with spices light masala,Pescatarian,Indian,577,28.5,58.8,16.9,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.",High soluble fiber and lean proteins to reduce LDL cholesterol.
Celiac Disease,Breakfast,Steamed Fish with spices,Pescatarian,Indian,367,35.2,15.8,10.2,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.","Strictly gluten-free ingredients (rice, quinoa, millet) to avoid autoimmune reaction."
Diabetes,Dinner,Quinoa Salad with spinach,Vegetarian,Mediterranean,591,13.4,44.9,16.0,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Low glycemic index, emphasizes complex carbohydrates and fiber to stabilize blood sugar."
Anemia,Dinner,Vegetable Upma and mixed veggies,Vegetarian,Indian,589,7.4,54.2,4.9,"egg whites, spinach, onion, pepper, olive oil spray","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Iron- and folate-rich ingredients; pairs with vitamin C sources to enhance absorption.
High Cholesterol,Snack,Besan Chilla,Vegan,Indian,442,34.6,33.3,17.1,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",High soluble fiber and lean proteins to reduce LDL cholesterol.
Heart Disease,Dinner,Vegetable Sushi Bowl light masala,Vegetarian,Asian,584,36.9,51.1,13.3,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Rich in omega-3, fiber, and antioxidants; low in saturated/trans fats to support cardiovascular health."
Obesity,Snack,Rice Noodle Salad,Vegan,Asian,445,13.5,60.2,16.7,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Lower-calorie meals with high fiber and protein to increase satiety and support weight loss.
Depression/Anxiety,Dinner,Fish Tikka (tandoor style) light masala,Pescatarian,Indian,200,16.4,63.9,19.4,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.","Mood-supporting nutrients: omega-3s, vitamin D, B vitamins, magnesium; balanced meals."
Heart Disease,Dinner,Tuna Salad (olive oil dressing) with quinoa,Pescatarian,Continental,505,31.9,53.6,14.4,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Rich in omega-3, fiber, and antioxidants; low in saturated/trans fats to support cardiovascular health."
Gastritis,Snack,Besan Chilla and mixed veggies,Vegan,Indian,640,35.1,34.3,6.5,"spinach, onion, pepper, olive oil spray, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Soothing, low-acid, non-irritant foods; easily digestible preparations."
Fatty Liver,Snack,Fish Tikka (tandoor style),Pescatarian,Indian,352,36.3,37.0,25.7,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.
Obesity,Snack,Lemon Herb Fish and mixed veggies,Pescatarian,Mediterranean,358,10.7,68.1,13.0,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.",Lower-calorie meals with high fiber and protein to increase satiety and support weight loss.
Diabetes,Lunch,Chicken and Broccoli Stir Fry,Non-Vegetarian,Asian,364,35.8,58.4,18.8,"lean chicken breast, garlic, yogurt (low-fat), spices (paprika, turmeric), olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Low glycemic index, emphasizes complex carbohydrates and fiber to stabilize blood sugar."
Gastritis,Snack,Avocado Toast with Seeds and mixed veggies,Vegetarian,Continental,240,34.5,70.2,23.5,"egg whites, spinach, onion, pepper, olive oil spray","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Soothing, low-acid, non-irritant foods; easily digestible preparations."
Heart Disease,Breakfast,Grilled Vegetable Platter,Vegetarian,Mediterranean,414,38.4,28.1,20.9,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.","Rich in omega-3, fiber, and antioxidants; low in saturated/trans fats to support cardiovascular health."
Obesity,Dinner,Lentil Stew,Vegan,Mediterranean,334,11.1,76.6,12.8,"lentils (moong/masoor), onion, tomato, turmeric, cumin, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Sauté aromatics lightly in a bit of oil; add vegetables and low-sodium broth. 3) Simmer until vegetables are tender; season with herbs. 4) Blend partially or fully for a smooth texture if desired; serve warm.",Lower-calorie meals with high fiber and protein to increase satiety and support weight loss.
Diabetes,Breakfast,Rice Noodle Salad,Vegan,Asian,391,12.1,40.2,24.2,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Low glycemic index, emphasizes complex carbohydrates and fiber to stabilize blood sugar."
Thyroid,Lunch,Ragi Porridge,Vegan,Indian,329,12.8,18.8,21.0,"rolled oats, water or low-fat milk, nuts (almonds/walnuts), seeds (flax/chia), fresh berries or fruit, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook oats in water or low-fat milk over medium heat until soft. 3) Stir in seeds and nuts; simmer briefly; add fresh fruits or cinnamon for flavor. 4) Serve warm; portion control advised for diabetes/weight management.","Balanced iodine and selenium sources, moderate calories to support metabolic health."
Kidney Disease,Dinner,Salmon Teriyaki (light) with herbs,Pescatarian,Asian,277,15.8,23.7,6.7,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Lower sodium and potassium when needed; moderate protein and controlled phosphorus.
Celiac Disease,Breakfast,Moong Dal Chilla,Vegetarian,Indian,456,15.2,32.1,21.6,"lentils (moong/masoor), onion, tomato, turmeric, cumin","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Strictly gluten-free ingredients (rice, quinoa, millet) to avoid autoimmune reaction."
Celiac Disease,Breakfast,Vegetable Sushi Bowl,Vegetarian,Asian,573,36.7,84.2,15.1,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Strictly gluten-free ingredients (rice, quinoa, millet) to avoid autoimmune reaction."
PCOS,Dinner,Lemon Herb Fish,Pescatarian,Mediterranean,438,11.1,80.2,4.1,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.",Higher protein and low-glycemic carbohydrates to help regulate insulin and support hormones.
Obesity,Breakfast,Steamed Fish with spices with quinoa,Pescatarian,Indian,411,27.2,56.1,20.0,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.",Lower-calorie meals with high fiber and protein to increase satiety and support weight loss.
Celiac Disease,Breakfast,Ragi Dosa,Vegetarian,Indian,450,19.0,79.2,7.1,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Strictly gluten-free ingredients (rice, quinoa, millet) to avoid autoimmune reaction."
Anemia,Dinner,Baked Cod with Herbs,Pescatarian,Continental,345,23.1,47.2,10.1,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.",Iron- and folate-rich ingredients; pairs with vitamin C sources to enhance absorption.
Depression/Anxiety,Dinner,Grilled Salmon Salad,Pescatarian,Mediterranean,313,23.1,86.1,6.6,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Mood-supporting nutrients: omega-3s, vitamin D, B vitamins, magnesium; balanced meals."
Celiac Disease,Snack,Tabbouleh with quinoa with quinoa,Vegan,Mediterranean,225,27.7,27.8,5.9,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Strictly gluten-free ingredients (rice, quinoa, millet) to avoid autoimmune reaction."
GERD,Lunch,Besan Chilla,Vegan,Indian,288,17.4,30.0,21.4,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux."
Obesity,Snack,Grilled Vegetable Platter,Vegetarian,Mediterranean,402,20.8,83.4,20.7,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.",Lower-calorie meals with high fiber and protein to increase satiety and support weight loss.
Kidney Disease,Lunch,Stuffed Peppers,Vegan,Continental,583,23.0,18.2,19.6,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Lower sodium and potassium when needed; moderate protein and controlled phosphorus.
Diabetes,Snack,Steamed Fish with Ginger,Non-Vegetarian,Asian,580,13.3,83.1,16.9,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.","Low glycemic index, emphasizes complex carbohydrates and fiber to stabilize blood sugar."
High Cholesterol,Lunch,Ragi Porridge with quinoa,Vegan,Indian,208,28.3,14.7,24.0,"rolled oats, water or low-fat milk, nuts (almonds/walnuts), seeds (flax/chia), fresh berries or fruit, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook oats in water or low-fat milk over medium heat until soft. 3) Stir in seeds and nuts; simmer briefly; add fresh fruits or cinnamon for flavor. 4) Serve warm; portion control advised for diabetes/weight management.",High soluble fiber and lean proteins to reduce LDL cholesterol.
Celiac Disease,Breakfast,Stir-fried Tempeh and Veggies with spinach,Vegan,Asian,167,33.4,18.4,26.0,"firm tofu or tempeh, soy sauce (low sodium), mixed vegetables, garlic, ginger, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Press and cube tofu; marinate with low-sodium soy and spices. 3) Stir-fry on high heat with vegetables to retain texture. 4) Finish with a splash of lemon and chopped herbs; serve hot.","Strictly gluten-free ingredients (rice, quinoa, millet) to avoid autoimmune reaction."
Thyroid,Lunch,Stuffed Peppers,Vegan,Continental,319,15.2,28.0,4.7,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Balanced iodine and selenium sources, moderate calories to support metabolic health."
Gastritis,Snack,Vegetable Upma with quinoa,Vegetarian,Indian,614,15.4,57.3,14.3,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Soothing, low-acid, non-irritant foods; easily digestible preparations."
High Cholesterol,Snack,Avocado Toast with Seeds with spinach,Vegetarian,Continental,542,13.0,61.4,8.7,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",High soluble fiber and lean proteins to reduce LDL cholesterol.
Heart Disease,Snack,Rice Noodle Salad,Vegan,Asian,535,24.0,51.5,23.9,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Rich in omega-3, fiber, and antioxidants; low in saturated/trans fats to support cardiovascular health."
GERD,Snack,Grilled Tandoori Chicken with herbs,Non-Vegetarian,Indian,238,23.0,31.9,14.4,"lean chicken breast, garlic, yogurt (low-fat), spices (paprika, turmeric), olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux."
PCOS,Lunch,Roasted Veggie Bowl,Vegan,Continental,267,13.3,24.5,7.7,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Higher protein and low-glycemic carbohydrates to help regulate insulin and support hormones.
Depression/Anxiety,Dinner,Vegetable Sushi Bowl and mixed veggies,Vegetarian,Asian,265,29.3,88.5,21.3,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Mood-supporting nutrients: omega-3s, vitamin D, B vitamins, magnesium; balanced meals."
