Disease,MealType,FoodName,DietType,Cuisine,Calories,Protein (g),Carbs (g),Fats (g),Ingredients,PreparationSteps,HealthNotes,disease_encoded,mealtype_encoded,diettype_encoded,cuisine_encoded,calories_scaled,protein_scaled,carbs_scaled,fats_scaled
Fatty Liver,Dinner,Besan Chilla with spinach,Vegan,Indian,209,15.8,24.0,13.1,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.,4,1,2,2,-1.3701964227118928,-0.7121057191364802,-1.215660703114932,-0.31858249353371343
GERD,Breakfast,Besan Chilla with herbs,Vegan,Indian,449,10.8,19.4,24.5,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux.",5,0,2,2,0.3232281892459169,-1.2240510520215544,-1.4191840205773683,1.2784064986675785
Anemia,Lunch,Grilled Chicken Bowl with quinoa,Non-Vegetarian,Mediterranean,302,7.3,89.3,8.8,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Iron- and folate-rich ingredients; pairs with vitamin C sources to enhance absorption.,0,2,0,3,-0.7139943855782415,-1.5824127850411063,1.6734855208626929,-0.9209555344517444
High Cholesterol,Lunch,Grilled Chicken Bowl with quinoa,Non-Vegetarian,Mediterranean,495,6.9,86.9,21.5,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",High soluble fiber and lean proteins to reduce LDL cholesterol.,8,2,0,3,0.6478012398711638,-1.6233684116719123,1.5672994421866397,0.8581462375619753
Gastritis,Breakfast,Moong Dal Chilla light masala,Vegetarian,Indian,267,13.6,19.9,8.7,"lentils (moong/masoor), onion, tomato, turmeric, cumin","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Soothing, low-acid, non-irritant foods; easily digestible preparations.",6,0,3,2,-0.9609521414887554,-0.9373616656059129,-1.3970619208531905,-0.9349642098219313
Obesity,Dinner,Grilled Salmon Salad,Pescatarian,Mediterranean,241,14.3,58.6,11.4,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Lower-calorie meals with high fiber and protein to increase satiety and support weight loss.,11,1,1,3,-1.1444064744508515,-0.8656893190020025,0.3151885977981741,-0.5567299748268884
Depression/Anxiety,Snack,Stir-fried Tempeh and Veggies with quinoa,Vegan,Asian,416,19.6,72.3,10.4,"firm tofu or tempeh, soy sauce (low sodium), mixed vegetables, garlic, ginger, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Press and cube tofu; marinate with low-sodium soy and spices. 3) Stir-fry on high heat with vegetables to retain texture. 4) Finish with a splash of lemon and chopped herbs; serve hot.","Mood-supporting nutrients: omega-3s, vitamin D, B vitamins, magnesium; balanced meals.",2,3,2,0,0.09038230510171807,-0.3230272661438238,0.9213341302406466,-0.6968167285287561
GERD,Snack,Egg Bhurji,Non-Vegetarian,Indian,380,20.6,32.9,21.6,"egg whites, spinach, onion, pepper, olive oil spray","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux.",5,3,0,2,-0.16363138669195337,-0.22063819956680902,-0.8218873280245667,0.8721549129321623
Celiac Disease,Dinner,Lemon Herb Fish,Pescatarian,Mediterranean,402,27.3,79.6,9.1,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.","Strictly gluten-free ingredients (rice, quinoa, millet) to avoid autoimmune reaction.",1,1,1,3,-0.008400797262487492,0.46536854649919024,1.2443167862136428,-0.8789295083411842
Fatty Liver,Dinner,Grilled Salmon Salad with spinach,Pescatarian,Mediterranean,331,29.4,89.8,27.5,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.,4,1,1,3,-0.5093722449666729,0.6803855863109212,1.6956076205868706,1.6986667597731815
Anemia,Dinner,Vegetable Sushi Bowl,Vegetarian,Asian,619,19.3,24.3,22.7,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Iron- and folate-rich ingredients; pairs with vitamin C sources to enhance absorption.,0,1,3,0,1.5227372893826987,-0.35374398611692837,-1.2023874432804253,1.0262503420042164
Depression/Anxiety,Breakfast,Tuna Salad (olive oil dressing) and mixed veggies,Pescatarian,Continental,560,39.7,29.1,13.1,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Mood-supporting nutrients: omega-3s, vitamin D, B vitamins, magnesium; balanced meals.",2,0,1,1,1.1064370722764039,1.7349929720541744,-0.9900152859283181,-0.31858249353371343
High Cholesterol,Dinner,Tabbouleh with quinoa,Vegan,Mediterranean,645,15.2,71.6,13.9,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",High soluble fiber and lean proteins to reduce LDL cholesterol.,8,1,2,3,1.7061916223447948,-0.7735391590826893,0.8903631906267975,-0.20651309057221914
Thyroid,Lunch,Chicken and Broccoli Stir Fry with herbs,Non-Vegetarian,Asian,442,36.2,70.3,6.9,"lean chicken breast, garlic, yogurt (low-fat), spices (paprika, turmeric), olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Balanced iodine and selenium sources, moderate calories to support metabolic health.",13,2,0,0,0.2738366380638141,1.3766312390346225,0.8328457313439352,-1.187120366485293
PCOS,Snack,Turkey Salad and mixed veggies,Non-Vegetarian,Continental,201,11.3,47.7,19.1,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Higher protein and low-glycemic carbohydrates to help regulate insulin and support hormones.,12,3,0,1,-1.426643909777153,-1.1728565187330469,-0.1670731761889026,0.5219380286774931
Anemia,Lunch,Tabbouleh with quinoa light masala,Vegan,Mediterranean,370,24.6,51.0,13.7,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Iron- and folate-rich ingredients; pairs with vitamin C sources to enhance absorption.,0,2,2,3,-0.23419074552352878,0.18891806674125028,-0.021067318009329043,-0.23453044131259282
Fatty Liver,Breakfast,Grilled Halloumi Salad,Vegetarian,Continental,235,16.1,48.7,19.0,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.,4,0,3,1,-1.1867420897497967,-0.6813889991633757,-0.12282897674054695,0.507929353307306
High Cholesterol,Breakfast,Grilled Halloumi Salad,Vegetarian,Continental,504,38.2,18.5,12.8,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",High soluble fiber and lean proteins to reduce LDL cholesterol.,8,0,3,1,0.7113046628195816,1.581409372188652,-1.4590038000808883,-0.36060851964427354
Gastritis,Lunch,Avocado Toast with Seeds and mixed veggies,Vegetarian,Continental,572,13.1,22.2,4.5,"egg whites, spinach, onion, pepper, olive oil spray","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Soothing, low-acid, non-irritant foods; easily digestible preparations.",6,2,3,1,1.1911083028742944,-0.9885561988944204,-1.2953002621219722,-1.5233285753697756
Celiac Disease,Lunch,Vegetable Upma,Vegetarian,Indian,376,33.7,86.8,25.6,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Strictly gluten-free ingredients (rice, quinoa, millet) to avoid autoimmune reaction.",1,2,3,2,-0.19185513022458353,1.1206585725920852,1.5628750222418037,1.4325019277396331
Diabetes,Lunch,Roasted Veggie Bowl with spinach,Vegan,Continental,306,19.5,27.3,22.2,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Low glycemic index, emphasizes complex carbohydrates and fiber to stabilize blood sugar.",3,2,2,1,-0.6857706420456113,-0.3332661728015255,-1.0696548449353582,0.9562069651532826
Gastritis,Snack,Turkey Salad,Non-Vegetarian,Continental,589,10.9,57.1,23.8,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Soothing, low-acid, non-irritant foods; easily digestible preparations.",6,3,0,1,1.3110592128879726,-1.2138121453638528,0.2488222986256406,1.180345771076271
Obesity,Snack,Rice Noodle Salad with quinoa,Vegan,Asian,466,9.7,22.8,26.3,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Lower-calorie meals with high fiber and protein to increase satiety and support weight loss.,11,3,2,0,0.4431790992595951,-1.3366790252562708,-1.268753742452959,1.5305626553309404
Depression/Anxiety,Dinner,Keema with peas,Non-Vegetarian,Indian,294,23.2,63.9,27.8,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Mood-supporting nutrients: omega-3s, vitamin D, B vitamins, magnesium; balanced meals.",2,1,0,2,-0.7704418726435018,0.0455733735334293,0.549682854874459,1.740692785883742
Hypertension,Lunch,Tuna Salad (olive oil dressing),Pescatarian,Continental,205,27.1,47.2,19.8,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Low sodium, emphasizes potassium-rich vegetables and lean proteins to support blood pressure.",9,2,1,1,-1.3984201662445228,0.44489073318378736,-0.18919527591308044,0.6199987562688003
Anemia,Lunch,Lentil Stew,Vegan,Mediterranean,176,9.6,42.4,7.2,"lentils (moong/masoor), onion, tomato, turmeric, cumin, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Sauté aromatics lightly in a bit of oil; add vegetables and low-sodium broth. 3) Simmer until vegetables are tender; season with herbs. 4) Blend partially or fully for a smooth texture if desired; serve warm.",Iron- and folate-rich ingredients; pairs with vitamin C sources to enhance absorption.,0,2,2,3,-1.6030423068560915,-1.3469179319139724,-0.40156743326518785,-1.145094340374733
Gastritis,Breakfast,Steamed Fish with spices,Pescatarian,Indian,299,30.9,14.6,21.9,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.","Soothing, low-acid, non-irritant foods; easily digestible preparations.",6,0,1,2,-0.7351621932277141,0.8339691861764433,-1.6315561779294754,0.9141809390427222
PCOS,Lunch,Tabbouleh with quinoa and mixed veggies,Vegan,Mediterranean,586,22.4,74.4,26.9,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Higher protein and low-glycemic carbohydrates to help regulate insulin and support hormones.,12,2,2,3,1.2898914052385,-0.03633787972818263,1.014246949082194,1.6146147075520607
Heart Disease,Breakfast,Miso Soup with Greens,Vegetarian,Asian,513,15.0,68.8,26.9,"mixed vegetables, low-sodium broth, herbs, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Sauté aromatics lightly in a bit of oil; add vegetables and low-sodium broth. 3) Simmer until vegetables are tender; season with herbs. 4) Blend partially or fully for a smooth texture if desired; serve warm.","Rich in omega-3, fiber, and antioxidants; low in saturated/trans fats to support cardiovascular health.",7,0,3,0,0.7748080857679994,-0.7940169723980922,0.7664794321714017,1.6146147075520607
Depression/Anxiety,Snack,Roast Chicken with Herbs light masala,Non-Vegetarian,Continental,625,24.5,20.1,3.3,"lean chicken breast, garlic, yogurt (low-fat), spices (paprika, turmeric), olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Mood-supporting nutrients: omega-3s, vitamin D, B vitamins, magnesium; balanced meals.",2,3,0,1,1.565072904681644,0.17867916008354864,-1.3882130809635191,-1.6914326798120167
Heart Disease,Breakfast,Vegetable Upma,Vegetarian,Indian,632,11.5,83.1,6.8,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Rich in omega-3, fiber, and antioxidants; low in saturated/trans fats to support cardiovascular health.",7,0,3,2,1.6144644558637467,-1.152378705417644,1.3991714842828877,-1.2011290418554799
Kidney Disease,Snack,Grilled Halloumi Salad,Vegetarian,Continental,176,31.4,17.6,18.5,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Lower sodium and potassium when needed; moderate protein and controlled phosphorus.,10,3,3,1,-1.6030423068560915,0.8851637194649508,-1.4988235795844083,0.43788597645637223
Diabetes,Lunch,Steamed Fish with Ginger,Non-Vegetarian,Asian,554,12.8,51.2,21.6,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.","Low glycemic index, emphasizes complex carbohydrates and fiber to stabilize blood sugar.",3,2,0,0,1.0641014569774585,-1.0192729188675247,-0.012218478119657782,0.8721549129321623
Thyroid,Dinner,Steamed Fish with Ginger with quinoa,Non-Vegetarian,Asian,198,20.5,66.2,17.1,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.","Balanced iodine and selenium sources, moderate calories to support metabolic health.",13,1,0,0,-1.4478117174266256,-0.23087710622451066,0.6514445136056772,0.24176452127375764
Fatty Liver,Breakfast,Avocado Toast with Seeds,Vegetarian,Continental,355,8.0,37.3,15.0,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.,4,0,3,1,-0.3400297837708919,-1.5107404384371959,-0.6272128504518019,-0.052417661500164726
Depression/Anxiety,Breakfast,Avocado Toast with Seeds,Vegetarian,Continental,560,30.0,57.5,10.7,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Mood-supporting nutrients: omega-3s, vitamin D, B vitamins, magnesium; balanced meals.",2,0,3,1,1.1064370722764039,0.7418190262571301,0.2665199784049828,-0.6547907024181959
Depression/Anxiety,Breakfast,Tabbouleh with quinoa,Vegan,Mediterranean,162,11.5,84.8,16.9,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Mood-supporting nutrients: omega-3s, vitamin D, B vitamins, magnesium; balanced meals.",2,0,2,3,-1.7018254092202971,-1.152378705417644,1.4743866233450924,0.2137471705333837
Fatty Liver,Breakfast,Tofu Stir Fry with herbs,Vegetarian,Asian,395,34.9,35.3,6.4,"firm tofu or tempeh, soy sauce (low sodium), mixed vegetables, garlic, ginger","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Press and cube tofu; marinate with low-sodium soy and spices. 3) Stir-fry on high heat with vegetables to retain texture. 4) Finish with a splash of lemon and chopped herbs; serve hot.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.,4,0,3,0,-0.057792348444590275,1.2435254524845027,-0.7157012493485132,-1.2571637433362268
GERD,Breakfast,Lemon Herb Fish,Pescatarian,Mediterranean,348,22.7,35.0,13.7,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux.",5,0,1,3,-0.38942133495299464,-0.005621159755078108,-0.7289745091830198,-0.23453044131259282
High Cholesterol,Breakfast,Quinoa Salad,Vegetarian,Mediterranean,415,16.3,87.7,19.4,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",High soluble fiber and lean proteins to reduce LDL cholesterol.,8,0,3,3,0.08332636921856053,-0.6609111858479728,1.6026948017453242,0.563964054788053
Anemia,Breakfast,Steamed Fish with Ginger,Non-Vegetarian,Asian,220,17.8,80.4,4.9,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.",Iron- and folate-rich ingredients; pairs with vitamin C sources to enhance absorption.,0,0,0,0,-1.2925811279971597,-0.5073275859824506,1.279712145772328,-1.4672938738890284
PCOS,Breakfast,Chicken and Broccoli Stir Fry with herbs,Non-Vegetarian,Asian,499,20.7,63.6,12.7,"lean chicken breast, garlic, yogurt (low-fat), spices (paprika, turmeric), olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Higher protein and low-glycemic carbohydrates to help regulate insulin and support hormones.,12,0,0,0,0.6760249834037939,-0.21039929290910775,0.5364095950399524,-0.37461719501446056
Anemia,Dinner,Stir-fried Tempeh and Veggies,Vegan,Asian,249,31.8,50.8,10.8,"firm tofu or tempeh, soy sauce (low sodium), mixed vegetables, garlic, ginger, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Press and cube tofu; marinate with low-sodium soy and spices. 3) Stir-fry on high heat with vegetables to retain texture. 4) Finish with a splash of lemon and chopped herbs; serve hot.",Iron- and folate-rich ingredients; pairs with vitamin C sources to enhance absorption.,0,1,2,0,-1.087958987385591,0.926119346095757,-0.0299161578990003,-0.6407820270480089
Hypertension,Breakfast,Tabbouleh with quinoa,Vegan,Mediterranean,574,8.2,67.2,17.6,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Low sodium, emphasizes potassium-rich vegetables and lean proteins to support blood pressure.",9,0,2,3,1.2052201746406095,-1.490262625121793,0.6956887130540329,0.3118078981246915
High Cholesterol,Dinner,Grilled Mackerel,Pescatarian,Asian,419,25.4,86.1,8.5,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.",High soluble fiber and lean proteins to reduce LDL cholesterol.,8,1,1,0,0.11155011275119069,0.27082932000286186,1.5319040826279546,-0.9629815605623048
Diabetes,Breakfast,Miso Soup with Greens,Vegetarian,Asian,518,30.8,45.7,11.7,"mixed vegetables, low-sodium broth, herbs, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Sauté aromatics lightly in a bit of oil; add vegetables and low-sodium broth. 3) Simmer until vegetables are tender; season with herbs. 4) Blend partially or fully for a smooth texture if desired; serve warm.","Low glycemic index, emphasizes complex carbohydrates and fiber to stabilize blood sugar.",3,0,3,0,0.8100877651837871,0.8237302795187421,-0.25556157508561395,-0.5147039487163282
Fatty Liver,Snack,Tabbouleh with quinoa,Vegan,Mediterranean,311,36.1,78.4,7.6,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.,4,3,2,3,-0.6504909626298236,1.3663923323769207,1.1912237468756166,-1.0890596388939857
Fatty Liver,Breakfast,Turkey Salad,Non-Vegetarian,Continental,549,28.2,43.6,3.6,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.,4,0,0,1,1.0288217775616708,0.5575187064185034,-0.3484743939271609,-1.6494066537014564
